brokerage,street_address,city,province,postal_code
AGENCE IMMOBILIÈRE ROYAL,209 Chemin Panoramique Cantley,Ottawa,ON,J8V 3B2
AVENUE NORTH REALTY INC.,482 Preston Streetottawa,Ottawa,ON,K1S 4N8
AVISON YOUNG COMMERCIAL REAL ESTATE SERVICES,,,ON,
BENNETT PROPERTY SHOP REALTY,1194 Carp Rd Ottawa,Ottawa,ON,K2S 1B9
CBRE LIMITED,,,ON,
CLV REALTY CORPORATION,200 Ottawa,Ottawa,ON,K2P 1Z2
COLDWELL BANKER COBURN REALTY,,,ON,
COLDWELL BANKER FIRST OTTAWA REALTY,1749 Woodward Drive,Ottawa,ON,K2C 0P9
COLDWELL BANKER SARAZEN REALTY,2544 Bank Street Ottawa,Ottawa,ON,K1T 1M9
COLLIERS,,,ON,
COMFREE,,,ON,
Century 21 Macintyre inc.,105 Chelsea,Ottawa,ON,J9B 1P4
Century 21 ® Élite,,,ON,
EASY LIST REALTY LTD.,,,ON,
ENGEL & VOLKERS OTTAWA,,,ON,
ENGEL & VÖLKERS OUTAOUAIS,,,ON,
EXIT REALTY MATRIX,2131 St. Joseph Blvd.Ottawa,Ottawa,ON,K1C 1E7
EXP AGENCE IMMOBILIÈRE,,,ON,
EXP AGENCE IMMOBILIÈRE - Gatineau,555 Boul. St-Joseph Gatineau,Gatineau,ON,J8Y 4A1
EXP REALTY,,,ON,
Engel & Volkers West Hamilton,,,ON,
FIDACITY REALTY,1000 Innovation Drive Ottawa,Ottawa,ON,K2K 3E7
GRAPE VINE REALTY INC.,19 Water Street P.O. Box 65Portland,Ottawa,ON,K0G 1V0
Guilbault services immobiliers inc.,20 Chemin Des Bâtisseurs L'Ange-Gardien,Ottawa,ON,J8L 0Z9
ICI SOURCE REAL ASSET SERVICES INC.,,,ON,
INNOVATION REALTY LTD.,8221 Campeau Dr Unit B In Kanata,Ottawa,ON,K2T 0A2
KELLER WILLIAMS DISTINCTION,,,ON,
LENNARD COMMERCIAL REALTY,,,ON,
LPT REALTY,,,ON,
M IMMOBILIER - Montréal,,,ON,
MARILYN WILSON DREAM PROPERTIES INC.,266 Beechwood Avenueottawa,Ottawa,ON,K1L 8A6
ONE PERCENT REALTY LTD.,21 Ladouceur Stottawa,Ottawa,ON,K1Y 2S9
Ottawa True North Realty,261 Ottawa,Ottawa,ON,K2H 8R2
PAUL RUSHFORTH REAL ESTATE INC.,3002 St Joseph Boulevard Orleans,Ottawa,ON,K1E 1E2
POWER MARKETING REAL ESTATE INC.,791 Montreal Roadottawa,Ottawa,ON,K1K 0S9
QUBE PROPERTIES LTD,,,ON,
RE/MAX ABSOLUTE REALTY INC.,238 Argyle Aveottawa,Ottawa,ON,K2P 1B9
RE/MAX ABSOLUTE WALKER REALTY,,,ON,
RE/MAX DELTA REALTY,845 Rockland,Ottawa,ON,K4K 1L5
RE/MAX DELTA REALTY TEAM,,,ON,
RE/MAX DIRECT INC.,216 Ch. D'Aylmer Gatineau,Gatineau,ON,J9H 1A4
RE/MAX DIRECT INC. - Gatineau,"216 Chemin D'Aylmer, Gatineau (Gatineau)",Gatineau,ON,J9H 1A4
RE/MAX HALLMARK EXCELLENCE GROUP REALTY,,,ON,
RE/MAX HALLMARK PILON GROUP REALTY,,,ON,
RE/MAX HALLMARK REALTY GROUP,,,ON,
RE/MAX VISION,,,ON,
RE/MAX VISION - Buckingham,999 Rue Dollard Gatineau,Gatineau,ON,J8L 3E6
RE/MAX VISION - Hull,24 Boul. Saint-Raymond Gatineau,Gatineau,ON,J8Y 1R4
REAL BROKER ONTARIO LTD.,,,ON,
REALTY EXECUTIVES PLUS LTD.,,,ON,
REMAX BOARDWALK REALTY,,,ON,
RIGHT AT HOME REALTY,,,ON,
ROYAL LEPAGE BLANC & NOIR,,,ON,
ROYAL LEPAGE INTEGRITY REALTY,2148 Carling Ave #5 Ottawa,Ottawa,ON,K2H 1A1
ROYAL LEPAGE PERFORMANCE REALTY,165 Pretoria Avenue Ottawa,Ottawa,ON,K1S 1X1
ROYAL LEPAGE TEAM REALTY,,,ON,
Royal LePage Vallée de l'Outaouais,210 Chemin D'Aylmer Gatineau,Gatineau,ON,J9H 1A2
Royal LePage Vallée de l'Outaouais - Aylmer,210 Chemin D'Aylmer Gatineau,Gatineau,ON,J9H 1A2
Royal LePage Vallée de l'Outaouais FM,500 Boul. Gréber Gatineau,Gatineau,ON,J8T 7W3
SOTHEBY'S INTERNATIONAL REALTY QUÉBEC,,,ON,
THE AGENCY OTTAWA,,,ON,
VIA CAPITALE DIAMANT,295 Boul. St-Joseph Gatineau,Gatineau,ON,J8Y 3Y5
VIA CAPITALE DIAMANT - Wakefield,,,ON,
